game_id,pokemon_id,form_id,ability_id,slot
7,1,1,65,ability_1
7,2,1,65,ability_1
7,3,1,65,ability_1
7,4,1,66,ability_1
7,5,1,66,ability_1
7,6,1,66,ability_1
7,7,1,67,ability_1
7,8,1,67,ability_1
7,9,1,67,ability_1
7,10,1,19,ability_1
7,11,1,61,ability_1
7,12,1,14,ability_1
7,13,1,19,ability_1
7,14,1,61,ability_1
7,15,1,68,ability_1
7,16,1,51,ability_1
7,17,1,51,ability_1
7,18,1,51,ability_1
7,19,1,50,ability_1
7,19,1,62,ability_2
7,20,1,50,ability_1
7,20,1,62,ability_2
7,21,1,51,ability_1
7,22,1,51,ability_1
7,23,1,22,ability_1
7,23,1,61,ability_2
7,24,1,22,ability_1
7,24,1,61,ability_2
7,25,1,9,ability_1
7,26,1,9,ability_1
7,27,1,8,ability_1
7,28,1,8,ability_1
7,29,1,38,ability_1
7,30,1,38,ability_1
7,31,1,38,ability_1
7,32,1,38,ability_1
7,33,1,38,ability_1
7,34,1,38,ability_1
7,35,1,56,ability_1
7,36,1,56,ability_1
7,37,1,18,ability_1
7,38,1,18,ability_1
7,39,1,56,ability_1
7,40,1,56,ability_1
7,41,1,39,ability_1
7,42,1,39,ability_1
7,43,1,34,ability_1
7,44,1,34,ability_1
7,45,1,34,ability_1
7,46,1,27,ability_1
7,47,1,27,ability_1
7,48,1,14,ability_1
7,49,1,19,ability_1
7,50,1,8,ability_1
7,50,1,71,ability_2
7,51,1,8,ability_1
7,51,1,71,ability_2
7,52,1,53,ability_1
7,53,1,7,ability_1
7,54,1,6,ability_1
7,54,1,13,ability_2
7,55,1,6,ability_1
7,55,1,13,ability_2
7,56,1,72,ability_1
7,57,1,72,ability_1
7,58,1,18,ability_2
7,58,1,22,ability_1
7,59,1,18,ability_2
7,59,1,22,ability_1
7,60,1,6,ability_2
7,60,1,11,ability_1
7,61,1,6,ability_2
7,61,1,11,ability_1
7,62,1,6,ability_2
7,62,1,11,ability_1
7,63,1,28,ability_1
7,63,1,39,ability_2
7,64,1,28,ability_1
7,64,1,39,ability_2
7,65,1,28,ability_1
7,65,1,39,ability_2
7,66,1,62,ability_1
7,67,1,62,ability_1
7,68,1,62,ability_1
7,69,1,34,ability_1
7,70,1,34,ability_1
7,71,1,34,ability_1
7,72,1,29,ability_1
7,72,1,64,ability_2
7,73,1,29,ability_1
7,73,1,64,ability_2
7,74,1,5,ability_2
7,74,1,69,ability_1
7,75,1,5,ability_2
7,75,1,69,ability_1
7,76,1,5,ability_2
7,76,1,69,ability_1
7,77,1,18,ability_2
7,77,1,50,ability_1
7,78,1,18,ability_2
7,78,1,50,ability_1
7,79,1,12,ability_1
7,79,1,20,ability_2
7,80,1,12,ability_1
7,80,1,20,ability_2
7,81,1,5,ability_2
7,81,1,42,ability_1
7,82,1,5,ability_2
7,82,1,42,ability_1
7,83,1,39,ability_2
7,83,1,51,ability_1
7,84,1,48,ability_2
7,84,1,50,ability_1
7,85,1,48,ability_2
7,85,1,50,ability_1
7,86,1,47,ability_1
7,87,1,47,ability_1
7,88,1,1,ability_1
7,88,1,60,ability_2
7,89,1,1,ability_1
7,89,1,60,ability_2
7,90,1,75,ability_1
7,91,1,75,ability_1
7,92,1,26,ability_1
7,93,1,26,ability_1
7,94,1,26,ability_1
7,95,1,5,ability_2
7,95,1,69,ability_1
7,96,1,15,ability_1
7,97,1,15,ability_1
7,98,1,52,ability_1
7,98,1,75,ability_2
7,99,1,52,ability_1
7,99,1,75,ability_2
7,100,1,9,ability_2
7,100,1,43,ability_1
7,101,1,9,ability_2
7,101,1,43,ability_1
7,102,1,34,ability_1
7,103,1,34,ability_1
7,104,1,31,ability_2
7,104,1,69,ability_1
7,105,1,31,ability_2
7,105,1,69,ability_1
7,106,1,7,ability_1
7,107,1,51,ability_1
7,108,1,12,ability_2
7,108,1,20,ability_1
7,109,1,26,ability_1
7,110,1,26,ability_1
7,111,1,31,ability_1
7,111,1,69,ability_2
7,112,1,31,ability_1
7,112,1,69,ability_2
7,113,1,30,ability_1
7,113,1,32,ability_2
7,114,1,34,ability_1
7,115,1,48,ability_1
7,116,1,33,ability_1
7,117,1,38,ability_1
7,118,1,33,ability_1
7,118,1,41,ability_2
7,119,1,33,ability_1
7,119,1,41,ability_2
7,120,1,30,ability_2
7,120,1,35,ability_1
7,121,1,30,ability_2
7,121,1,35,ability_1
7,122,1,43,ability_1
7,123,1,68,ability_1
7,124,1,12,ability_1
7,125,1,9,ability_1
7,126,1,49,ability_1
7,127,1,52,ability_1
7,128,1,22,ability_1
7,129,1,33,ability_1
7,130,1,22,ability_1
7,131,1,11,ability_1
7,131,1,75,ability_2
7,132,1,7,ability_1
7,133,1,50,ability_1
7,134,1,11,ability_1
7,135,1,10,ability_1
7,136,1,18,ability_1
7,137,1,36,ability_1
7,138,1,33,ability_1
7,138,1,75,ability_2
7,139,1,33,ability_1
7,139,1,75,ability_2
7,140,1,4,ability_2
7,140,1,33,ability_1
7,141,1,4,ability_2
7,141,1,33,ability_1
7,142,1,46,ability_2
7,142,1,69,ability_1
7,143,1,17,ability_1
7,143,1,47,ability_2
7,144,1,46,ability_1
7,145,1,46,ability_1
7,146,1,46,ability_1
7,147,1,61,ability_1
7,148,1,61,ability_1
7,149,1,39,ability_1
7,150,1,46,ability_1
7,151,1,28,ability_1
7,152,1,65,ability_1
7,153,1,65,ability_1
7,154,1,65,ability_1
7,155,1,66,ability_1
7,156,1,66,ability_1
7,157,1,66,ability_1
7,158,1,67,ability_1
7,159,1,67,ability_1
7,160,1,67,ability_1
7,161,1,50,ability_1
7,161,1,51,ability_2
7,162,1,50,ability_1
7,162,1,51,ability_2
7,163,1,15,ability_1
7,163,1,51,ability_2
7,164,1,15,ability_1
7,164,1,51,ability_2
7,165,1,48,ability_2
7,165,1,68,ability_1
7,166,1,48,ability_2
7,166,1,68,ability_1
7,167,1,15,ability_2
7,167,1,68,ability_1
7,168,1,15,ability_2
7,168,1,68,ability_1
7,169,1,39,ability_1
7,170,1,10,ability_1
7,170,1,35,ability_2
7,171,1,10,ability_1
7,171,1,35,ability_2
7,172,1,9,ability_1
7,173,1,56,ability_1
7,174,1,56,ability_1
7,175,1,32,ability_2
7,175,1,55,ability_1
7,176,1,32,ability_2
7,176,1,55,ability_1
7,177,1,28,ability_1
7,177,1,48,ability_2
7,178,1,28,ability_1
7,178,1,48,ability_2
7,179,1,9,ability_1
7,180,1,9,ability_1
7,181,1,9,ability_1
7,182,1,34,ability_1
7,183,1,37,ability_2
7,183,1,47,ability_1
7,184,1,37,ability_2
7,184,1,47,ability_1
7,185,1,5,ability_1
7,185,1,69,ability_2
7,186,1,6,ability_2
7,186,1,11,ability_1
7,187,1,34,ability_1
7,188,1,34,ability_1
7,189,1,34,ability_1
7,190,1,50,ability_1
7,190,1,53,ability_2
7,191,1,34,ability_1
7,192,1,34,ability_1
7,193,1,3,ability_1
7,193,1,14,ability_2
7,194,1,6,ability_1
7,194,1,11,ability_2
7,195,1,6,ability_1
7,195,1,11,ability_2
7,196,1,28,ability_1
7,197,1,28,ability_1
7,198,1,15,ability_1
7,199,1,12,ability_1
7,199,1,20,ability_2
7,200,1,26,ability_1
7,201,1,26,ability_1
7,201,2,26,ability_1
7,201,3,26,ability_1
7,201,4,26,ability_1
7,201,5,26,ability_1
7,201,6,26,ability_1
7,201,7,26,ability_1
7,201,8,26,ability_1
7,201,9,26,ability_1
7,201,10,26,ability_1
7,201,11,26,ability_1
7,201,12,26,ability_1
7,201,13,26,ability_1
7,201,14,26,ability_1
7,201,15,26,ability_1
7,201,16,26,ability_1
7,201,17,26,ability_1
7,201,18,26,ability_1
7,201,19,26,ability_1
7,201,20,26,ability_1
7,201,21,26,ability_1
7,201,22,26,ability_1
7,201,23,26,ability_1
7,201,24,26,ability_1
7,201,25,26,ability_1
7,201,26,26,ability_1
7,201,27,26,ability_1
7,201,28,26,ability_1
7,202,1,23,ability_1
7,203,1,39,ability_1
7,203,1,48,ability_2
7,204,1,5,ability_1
7,205,1,5,ability_1
7,206,1,32,ability_1
7,206,1,50,ability_2
7,207,1,8,ability_2
7,207,1,52,ability_1
7,208,1,5,ability_2
7,208,1,69,ability_1
7,209,1,22,ability_1
7,209,1,50,ability_2
7,210,1,22,ability_1
7,211,1,33,ability_2
7,211,1,38,ability_1
7,212,1,68,ability_1
7,213,1,5,ability_1
7,214,1,62,ability_2
7,214,1,68,ability_1
7,215,1,39,ability_1
7,215,1,51,ability_2
7,216,1,53,ability_1
7,217,1,62,ability_1
7,218,1,40,ability_1
7,218,1,49,ability_2
7,219,1,40,ability_1
7,219,1,49,ability_2
7,220,1,12,ability_1
7,221,1,12,ability_1
7,222,1,30,ability_2
7,222,1,55,ability_1
7,223,1,55,ability_1
7,224,1,21,ability_1
7,225,1,55,ability_2
7,225,1,72,ability_1
7,226,1,11,ability_2
7,226,1,33,ability_1
7,227,1,5,ability_2
7,227,1,51,ability_1
7,228,1,18,ability_2
7,228,1,48,ability_1
7,229,1,18,ability_2
7,229,1,48,ability_1
7,230,1,33,ability_1
7,231,1,53,ability_1
7,232,1,5,ability_1
7,233,1,36,ability_1
7,234,1,22,ability_1
7,235,1,20,ability_1
7,236,1,62,ability_1
7,237,1,22,ability_1
7,238,1,12,ability_1
7,239,1,9,ability_1
7,240,1,49,ability_1
7,241,1,47,ability_1
7,242,1,30,ability_1
7,242,1,32,ability_2
7,243,1,46,ability_1
7,244,1,46,ability_1
7,245,1,46,ability_1
7,246,1,62,ability_1
7,247,1,61,ability_1
7,248,1,45,ability_1
7,249,1,46,ability_1
7,250,1,46,ability_1
7,251,1,30,ability_1
7,252,1,65,ability_1
7,253,1,65,ability_1
7,254,1,65,ability_1
7,255,1,66,ability_1
7,256,1,66,ability_1
7,257,1,66,ability_1
7,258,1,67,ability_1
7,259,1,67,ability_1
7,260,1,67,ability_1
7,261,1,50,ability_1
7,262,1,22,ability_1
7,263,1,53,ability_1
7,264,1,53,ability_1
7,265,1,19,ability_1
7,266,1,61,ability_1
7,267,1,68,ability_1
7,268,1,61,ability_1
7,269,1,19,ability_1
7,270,1,33,ability_1
7,270,1,44,ability_2
7,271,1,33,ability_1
7,271,1,44,ability_2
7,272,1,33,ability_1
7,272,1,44,ability_2
7,273,1,34,ability_1
7,273,1,48,ability_2
7,274,1,34,ability_1
7,274,1,48,ability_2
7,275,1,34,ability_1
7,275,1,48,ability_2
7,276,1,62,ability_1
7,277,1,62,ability_1
7,278,1,51,ability_1
7,279,1,51,ability_1
7,280,1,28,ability_1
7,280,1,36,ability_2
7,281,1,28,ability_1
7,281,1,36,ability_2
7,282,1,28,ability_1
7,282,1,36,ability_2
7,283,1,33,ability_1
7,284,1,22,ability_1
7,285,1,27,ability_1
7,286,1,27,ability_1
7,287,1,54,ability_1
7,288,1,72,ability_1
7,289,1,54,ability_1
7,290,1,14,ability_1
7,291,1,3,ability_1
7,292,1,25,ability_1
7,293,1,43,ability_1
7,294,1,43,ability_1
7,295,1,43,ability_1
7,296,1,47,ability_1
7,296,1,62,ability_2
7,297,1,47,ability_1
7,297,1,62,ability_2
7,298,1,37,ability_2
7,298,1,47,ability_1
7,299,1,5,ability_1
7,299,1,42,ability_2
7,300,1,56,ability_1
7,301,1,56,ability_1
7,302,1,51,ability_1
7,303,1,22,ability_2
7,303,1,52,ability_1
7,304,1,5,ability_1
7,304,1,69,ability_2
7,305,1,5,ability_1
7,305,1,69,ability_2
7,306,1,5,ability_1
7,306,1,69,ability_2
7,307,1,74,ability_1
7,308,1,74,ability_1
7,309,1,9,ability_1
7,309,1,31,ability_2
7,310,1,9,ability_1
