generation_id,pokemon_id,form_id,slot,type_id
6,1,1,1,4
6,1,1,2,8
6,2,1,1,4
6,2,1,2,8
6,3,1,1,4
6,3,1,2,8
6,3,2,1,4
6,3,2,2,8
6,4,1,1,2
6,5,1,1,2
6,6,1,1,2
6,6,1,2,10
6,6,2,1,2
6,6,2,2,15
6,6,3,1,2
6,6,3,2,10
6,7,1,1,3
6,8,1,1,3
6,9,1,1,3
6,9,2,1,3
6,10,1,1,12
6,11,1,1,12
6,12,1,1,12
6,12,1,2,10
6,13,1,1,12
6,13,1,2,8
6,14,1,1,12
6,14,1,2,8
6,15,1,1,12
6,15,1,2,8
6,15,2,1,12
6,15,2,2,8
6,16,1,1,1
6,16,1,2,10
6,17,1,1,1
6,17,1,2,10
6,18,1,1,1
6,18,1,2,10
6,18,2,1,1
6,18,2,2,10
6,19,1,1,1
6,20,1,1,1
6,21,1,1,1
6,21,1,2,10
6,22,1,1,1
6,22,1,2,10
6,23,1,1,8
6,24,1,1,8
6,25,1,1,5
6,25,2,1,5
6,25,3,1,5
6,25,4,1,5
6,25,5,1,5
6,25,6,1,5
6,25,7,1,5
6,26,1,1,5
6,27,1,1,9
6,28,1,1,9
6,29,1,1,8
6,30,1,1,8
6,31,1,1,8
6,31,1,2,9
6,32,1,1,8
6,33,1,1,8
6,34,1,1,8
6,34,1,2,9
6,35,1,1,18
6,36,1,1,18
6,37,1,1,2
6,38,1,1,2
6,39,1,1,1
6,39,1,2,18
6,40,1,1,1
6,40,1,2,18
6,41,1,1,8
6,41,1,2,10
6,42,1,1,8
6,42,1,2,10
6,43,1,1,4
6,43,1,2,8
6,44,1,1,4
6,44,1,2,8
6,45,1,1,4
6,45,1,2,8
6,46,1,1,12
6,46,1,2,4
6,47,1,1,12
6,47,1,2,4
6,48,1,1,12
6,48,1,2,8
6,49,1,1,12
6,49,1,2,8
6,50,1,1,9
6,51,1,1,9
6,52,1,1,1
6,53,1,1,1
6,54,1,1,3
6,55,1,1,3
6,56,1,1,7
6,57,1,1,7
6,58,1,1,2
6,59,1,1,2
6,60,1,1,3
6,61,1,1,3
6,62,1,1,3
6,62,1,2,7
6,63,1,1,11
6,64,1,1,11
6,65,1,1,11
6,65,2,1,11
6,66,1,1,7
6,67,1,1,7
6,68,1,1,7
6,69,1,1,4
6,69,1,2,8
6,70,1,1,4
6,70,1,2,8
6,71,1,1,4
6,71,1,2,8
6,72,1,1,3
6,72,1,2,8
6,73,1,1,3
6,73,1,2,8
6,74,1,1,13
6,74,1,2,9
6,75,1,1,13
6,75,1,2,9
6,76,1,1,13
6,76,1,2,9
6,77,1,1,2
6,78,1,1,2
6,79,1,1,3
6,79,1,2,11
6,80,1,1,3
6,80,1,2,11
6,80,2,1,3
6,80,2,2,11
6,81,1,1,5
6,81,1,2,17
6,82,1,1,5
6,82,1,2,17
6,83,1,1,1
6,83,1,2,10
6,84,1,1,1
6,84,1,2,10
6,85,1,1,1
6,85,1,2,10
6,86,1,1,3
6,87,1,1,3
6,87,1,2,6
6,88,1,1,8
6,89,1,1,8
6,90,1,1,3
6,91,1,1,3
6,91,1,2,6
6,92,1,1,14
6,92,1,2,8
6,93,1,1,14
6,93,1,2,8
6,94,1,1,14
6,94,1,2,8
6,94,2,1,14
6,94,2,2,8
6,95,1,1,13
6,95,1,2,9
6,96,1,1,11
6,97,1,1,11
6,98,1,1,3
6,99,1,1,3
6,100,1,1,5
6,101,1,1,5
6,102,1,1,4
6,102,1,2,11
6,103,1,1,4
6,103,1,2,11
6,104,1,1,9
6,105,1,1,9
6,106,1,1,7
6,107,1,1,7
6,108,1,1,1
6,109,1,1,8
6,110,1,1,8
6,111,1,1,9
6,111,1,2,13
6,112,1,1,9
6,112,1,2,13
6,113,1,1,1
6,114,1,1,4
6,115,1,1,1
6,115,2,1,1
6,116,1,1,3
6,117,1,1,3
6,118,1,1,3
6,119,1,1,3
6,120,1,1,3
6,121,1,1,3
6,121,1,2,11
6,122,1,1,11
6,122,1,2,18
6,123,1,1,12
6,123,1,2,10
6,124,1,1,6
6,124,1,2,11
6,125,1,1,5
6,126,1,1,2
6,127,1,1,12
6,127,2,1,12
6,127,2,2,10
6,128,1,1,1
6,129,1,1,3
6,130,1,1,3
6,130,1,2,10
6,130,2,1,3
6,130,2,2,16
6,131,1,1,3
6,131,1,2,6
6,132,1,1,1
6,133,1,1,1
6,134,1,1,3
6,135,1,1,5
6,136,1,1,2
6,137,1,1,1
6,138,1,1,13
6,138,1,2,3
6,139,1,1,13
6,139,1,2,3
6,140,1,1,13
6,140,1,2,3
6,141,1,1,13
6,141,1,2,3
6,142,1,1,13
6,142,1,2,10
6,142,2,1,13
6,142,2,2,10
6,143,1,1,1
6,144,1,1,6
6,144,1,2,10
6,145,1,1,5
6,145,1,2,10
6,146,1,1,2
6,146,1,2,10
6,147,1,1,15
6,148,1,1,15
6,149,1,1,15
6,149,1,2,10
6,150,1,1,11
6,150,2,1,11
6,150,2,2,7
6,150,3,1,11
6,151,1,1,11
6,152,1,1,4
6,153,1,1,4
6,154,1,1,4
6,155,1,1,2
6,156,1,1,2
6,157,1,1,2
6,158,1,1,3
6,159,1,1,3
6,160,1,1,3
6,161,1,1,1
6,162,1,1,1
6,163,1,1,1
6,163,1,2,10
6,164,1,1,1
6,164,1,2,10
6,165,1,1,12
6,165,1,2,10
6,166,1,1,12
6,166,1,2,10
6,167,1,1,12
6,167,1,2,8
6,168,1,1,12
6,168,1,2,8
6,169,1,1,8
6,169,1,2,10
6,170,1,1,3
6,170,1,2,5
6,171,1,1,3
6,171,1,2,5
6,172,1,1,5
6,173,1,1,18
6,174,1,1,1
6,174,1,2,18
6,175,1,1,18
6,176,1,1,18
6,176,1,2,10
6,177,1,1,11
6,177,1,2,10
6,178,1,1,11
6,178,1,2,10
6,179,1,1,5
6,180,1,1,5
6,181,1,1,5
6,181,2,1,5
6,181,2,2,15
6,182,1,1,4
6,183,1,1,3
6,183,1,2,18
6,184,1,1,3
6,184,1,2,18
6,185,1,1,13
6,186,1,1,3
6,187,1,1,4
6,187,1,2,10
6,188,1,1,4
6,188,1,2,10
6,189,1,1,4
6,189,1,2,10
6,190,1,1,1
6,191,1,1,4
6,192,1,1,4
6,193,1,1,12
6,193,1,2,10
6,194,1,1,3
6,194,1,2,9
6,195,1,1,3
6,195,1,2,9
6,196,1,1,11
6,197,1,1,16
6,198,1,1,16
6,198,1,2,10
6,199,1,1,3
6,199,1,2,11
6,200,1,1,14
6,201,1,1,11
6,201,2,1,11
6,201,3,1,11
6,201,4,1,11
6,201,5,1,11
6,201,6,1,11
6,201,7,1,11
6,201,8,1,11
6,201,9,1,11
6,201,10,1,11
6,201,11,1,11
6,201,12,1,11
6,201,13,1,11
6,201,14,1,11
6,201,15,1,11
6,201,16,1,11
6,201,17,1,11
6,201,18,1,11
6,201,19,1,11
6,201,20,1,11
6,201,21,1,11
6,201,22,1,11
6,201,23,1,11
6,201,24,1,11
6,201,25,1,11
6,201,26,1,11
6,201,27,1,11
6,201,28,1,11
6,202,1,1,11
6,203,1,1,1
6,203,1,2,11
6,204,1,1,12
6,205,1,1,12
6,205,1,2,17
6,206,1,1,1
6,207,1,1,9
6,207,1,2,10
6,208,1,1,17
6,208,1,2,9
6,208,2,1,17
6,208,2,2,9
6,209,1,1,18
6,210,1,1,18
6,211,1,1,3
6,211,1,2,8
6,212,1,1,12
6,212,1,2,17
6,212,2,1,12
6,212,2,2,17
6,213,1,1,12
6,213,1,2,13
6,214,1,1,12
6,214,1,2,7
6,214,2,1,12
6,214,2,2,7
6,215,1,1,16
6,215,1,2,6
6,216,1,1,1
6,217,1,1,1
6,218,1,1,2
6,219,1,1,2
6,219,1,2,13
6,220,1,1,6
6,220,1,2,9
6,221,1,1,6
6,221,1,2,9
6,222,1,1,3
6,222,1,2,13
6,223,1,1,3
6,224,1,1,3
6,225,1,1,6
6,225,1,2,10
6,226,1,1,3
6,226,1,2,10
6,227,1,1,17
6,227,1,2,10
6,228,1,1,16
6,228,1,2,2
6,229,1,1,16
6,229,1,2,2
6,229,2,1,16
6,229,2,2,2
6,230,1,1,3
6,230,1,2,15
6,231,1,1,9
6,232,1,1,9
6,233,1,1,1
